,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169,feature_170,feature_171,feature_172,feature_173,feature_174,feature_175,feature_176,feature_177,feature_178,feature_179,feature_180,feature_181,feature_182,feature_183,feature_184,feature_185,feature_186,feature_187,feature_188,feature_189,feature_190,feature_191,feature_192,feature_193,feature_194,feature_195,feature_196,feature_197,feature_198,feature_199,feature_200,feature_201,feature_202,feature_203,feature_204,feature_205,feature_206,feature_207,feature_208,feature_209,feature_210,feature_211,feature_212,feature_213,feature_214,feature_215,feature_216,feature_217,feature_218,feature_219,feature_220,feature_221,feature_222,feature_223,feature_224,feature_225,feature_226,feature_227,feature_228,feature_229,feature_230,feature_231,feature_232,feature_233,feature_234,feature_235,feature_236,feature_237,feature_238,feature_239
sample_0,0.0,3.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,6.0,5.0,2.0,3.0,6.0,6.0,6.0,6.0,2.0,0.0,0.0,3.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,6.0,3.0,0.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,0.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,6.0,6.0,0.0,4.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,5.0,0.0,5.0,6.0,6.0,6.0,3.0,1.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,0.0,0.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0
sample_1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,5.0,1.0,1.0,5.0,6.0,6.0,6.0,6.0,3.0,0.0,2.0,6.0,6.0,6.0,4.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,3.0,0.0,3.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,3.0,0.0,4.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,6.0,6.0,3.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,6.0,3.0,2.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,2.0,3.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,0.0,1.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,6.0,0.0,2.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,6.0,6.0,3.0,0.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,3.0,0.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,6.0,6.0,2.0,0.0,2.0,6.0,6.0,5.0,2.0,2.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,0.0,0.0,0.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0
sample_2,0.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,3.0,2.0,5.0,6.0,6.0,4.0,0.0,0.0,0.0,2.0,4.0,5.0,6.0,6.0,1.0,0.0,0.0,0.0,4.0,6.0,6.0,5.0,3.0,0.0,3.0,6.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,6.0,2.0,3.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,1.0,0.0,5.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,1.0,0.0,3.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,6.0,2.0,0.0,2.0,5.0,6.0,6.0,6.0,1.0,0.0,1.0,5.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,0.0
sample_3,0.0,0.0,3.0,3.0,2.0,2.0,4.0,5.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,4.0,0.0,1.0,5.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,2.0,6.0,6.0,6.0,6.0,5.0,0.0,0.0,6.0,6.0,6.0,6.0,2.0,0.0,0.0,2.0,6.0,6.0,6.0,6.0,6.0,0.0,1.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,6.0,0.0,1.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,4.0,0.0,3.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,4.0,0.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,3.0,0.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,5.0,1.0,0.0,4.0,6.0,6.0,6.0,2.0,0.0,0.0,2.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,0.0,0.0,5.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,2.0,5.0,6.0,6.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
sample_4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,4.0,0.0,0.0,3.0,5.0,6.0,6.0,6.0,1.0,0.0,0.0,6.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,0.0,2.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,3.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,4.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,2.0,6.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,6.0,2.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,5.0,0.0,0.0,6.0,6.0,6.0,1.0,1.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
sample_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,6.0,3.0,0.0,3.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,2.0,0.0,3.0,6.0,6.0,6.0,3.0,0.0,0.0,1.0,4.0,6.0,6.0,6.0,4.0,1.0,0.0,3.0,6.0,6.0,6.0,4.0,0.0,0.0,3.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,0.0,0.0,3.0,6.0,6.0,6.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,5.0,0.0,1.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,1.0,0.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,2.0,0.0,3.0,6.0,6.0,6.0,6.0,5.0,1.0,0.0,2.0,6.0,6.0,6.0,6.0,2.0,2.0,5.0,6.0,6.0,5.0,4.0,1.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample_6,0.0,3.0,4.0,4.0,6.0,6.0,6.0,5.0,4.0,5.0,6.0,4.0,3.0,0.0,0.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,3.0,2.0,2.0,1.0,0.0,3.0,6.0,6.0,6.0,1.0,0.0,5.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,5.0,0.0,1.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,0.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,3.0,0.0,6.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,5.0,0.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,4.0,0.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,0.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,1.0,0.0,6.0,6.0,6.0,3.0,2.0,2.0,1.0,0.0,4.0,6.0,6.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0
sample_7,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,5.0,2.0,2.0,5.0,6.0,6.0,6.0,1.0,0.0,0.0,3.0,6.0,6.0,6.0,4.0,0.0,0.0,0.0,2.0,6.0,6.0,6.0,5.0,0.0,0.0,4.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,4.0,0.0,6.0,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,4.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,6.0,4.0,0.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,3.0,0.0,5.0,6.0,6.0,6.0,6.0,4.0,2.0,5.0,6.0,6.0,6.0,6.0,4.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
sample_8,0.0,0.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,5.0,6.0,6.0,5.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,6.0,6.0,0.0,2.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,0.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,6.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,3.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,2.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0
sample_9,0.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,4.0,0.0,0.0,2.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,2.0,0.0,3.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,3.0,0.0,1.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,6.0,3.0,0.0,0.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,0.0,0.0,3.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,0.0,0.0,3.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,0.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,3.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,0.0,0.0,3.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,3.0,0.0,2.0,6.0,6.0,6.0,5.0,1.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,3.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,4.0,2.0,5.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0
